body,statusLabel,cropped,instance,type,size,name
25265256,,,,,37957,
25279484,,,,,2016,
25277811,,,,,28759,
25278956,,,,,138482,
4016881,Roughly traced,,KC-s,KC-s,31674377,
26089822,,,,,8225,
26094555,,,,,4330,
26095499,,,,,6974,
26094964,,,,,21251,
26092941,,,,,3527,
20813626,,,,,80115,
26093413,,,,,8135,
26094575,,,,,1743,
26092602,,,,,8457,
26091082,,,,,10102,
21489801,,,,,51679,
26093425,,,,,13348,
26092776,Leaves,TRUE,Others,,318652,
26164630,,,,,248,
26096027,,,,,469,
26097604,,,,,1942,
26097448,,,,,3871,
26092788,,,,,9859,
26096948,,,,,3024,
26088625,,,,,18640,
26168471,,,,,35018,
26091629,,,,,1627,
21494164,,,,,31044,
20741730,,,,,1060763,
26093951,,,,,2801,
26094112,,,,,10771,
26160957,,,,,9690,
26088474,,,,,582102,
26155136,,,,,207171,
21560432,,,,,82735,
26164264,,,,,8195,
26167829,,,,,5613,
26169861,,,,,15308,
457361,Roughly traced,,KC-any,KC-any,16732243,
442652,,,,,302497,
440907,,,,,2866,
1914907,Roughly traced,,KC-s,KC-s,25078387,
444267,Orphan,,Others-orphan,,109279,
558719,Roughly traced,,KC-c,KC-c,19964234,
827215,Roughly traced,,KC-any,KC-any,20350412,
575957,Roughly traced,,KC-c,KC-c,16459198,
719588,,,,,5405,
733891,Roughly traced,,KC-s,KC-s,20814781,
721620,,,,,3258,
631859,Roughly traced,,KC-any,KC-any,13604941,
1032389,Roughly traced,,KC-s,KC-s,23385347,
654856,Roughly traced,,KC-c,KC-c,15647282,
8562791,Roughly traced,,KC-c,KC-c,16637927,
802928,Roughly traced,,KC-s,KC-s,30033926,
558268,,,,,7185,
803602,Roughly traced,,KC-any,KC-any,17059541,
200002636,,,,,4935,
1112503,Roughly traced,,KC-c,KC-c,18263579,
799109,,,,,11263,
815415,Roughly traced,,KC-s,KC-s,25123419,
632523,Orphan,,Others-orphan,,876210,
555466,Orphan,,Others-orphan,,162198,
4174069,Roughly traced,,KC-c,KC-c,15099809,
725122,Roughly traced,,KC-c,KC-c,16449436,
871644,Roughly traced,,KC-s,KC-s,20098682,
4656508,Roughly traced,,KC-c,KC-c,14268547,
14552696,Roughly traced,,KC-any,KC-any,17462128,
866783,Roughly traced,,KC-any,KC-any,21067179,
719839,Orphan,,Others-orphan,,25237,
15280817,Roughly traced,,KC-s,KC-s,25637346,
1020090,,,,,2273,
1105620,,,,,2846,
5505,Roughly traced,,KC-s,KC-s,23385345,
1825080,Roughly traced,,KC-c,KC-c,17371258,
801702,Orphan,,Others-orphan,,16015,
800143,,,,,4841,
803988,Orphan,,Others-orphan,,53907,
2416600,Roughly traced,,KC-c,KC-c,15584803,
4576464,Roughly traced,,KC-any,KC-any,19312034,
937243,Orphan,,Others-orphan,,137871,
1107516,,,,,4106,
1112813,Orphan,,Others-orphan,,26857,
1193740,,,,,767,
932714,Roughly traced,,KC-c,KC-c,15119918,
940210,Roughly traced,,KC-any,KC-any,20407238,
4523080,Roughly traced,,KC-s,KC-s,19998901,
1102537,Roughly traced,,KC-c,KC-c,15084440,
1191337,,,,,1752,
1214282,Roughly traced,,KC-c,KC-c,15965901,
1865803,Roughly traced,,KC-s,KC-s,31921789,
1870405,Roughly traced,,KC-s,KC-s,21724937,
2866831,Roughly traced,,KC-any,KC-any,19646183,
1363725,,,,,1709,
4674492,Roughly traced,,KC-any,KC-any,17046254,
4240946,Roughly traced,,KC-c,KC-c,18735154,
1449000,,,,,3590,
3207704,Roughly traced,,KC-s,KC-s,25877698,
2412768,Roughly traced,,KC-any,KC-any,19346686,
1129173,Roughly traced,,KC-c,KC-c,19850530,
1120511,Roughly traced,,KC-c,KC-c,16510693,
1467514,Roughly traced,,KC-any,KC-any,19019914,
958800,Roughly traced,,KC-s,KC-s,24645288,
2001366,Roughly traced,,KC-s,KC-s,20233910,
2026086,Roughly traced,,KC-s,KC-s,21917030,
7288888,Roughly traced,,KC-any,KC-any,22717709,
728699,Roughly traced,,KC-s,KC-s,21920484,
725363,,,,,30272,
641797,Roughly traced,,KC-c,KC-c,14714474,
666220,Roughly traced,,KC-c,KC-c,15161605,
2328224,Roughly traced,,KC-any,KC-any,22269800,
725865,,,,,4750,
642121,Roughly traced,,KC-s,KC-s,16582993,
734460,,,,,963,
802932,Roughly traced,,KC-s,KC-s,22179382,
454768,Roughly traced,,KC-s,KC-s,24649404,
200004485,,,,,4796,
748725,Roughly traced,,KC-c,KC-c,16253074,
512847,Roughly traced,,KC-s,KC-s,18966402,
400641382,Roughly traced,,KC-s,KC-s,25743667,
570237,Roughly traced,,KC-c,KC-c,14632201,
645976,,,,,2540,
1787423,Roughly traced,,KC-s,KC-s,27764725,
559475,,,,,3061,
1131934,Roughly traced,,KC-c,KC-c,14893463,
560637,Roughly traced,,KC-c,KC-c,13690125,
575069,Roughly traced,,KC-c,KC-c,12399059,
574833,Roughly traced,,KC-s,KC-s,23012625,
643745,,,,,1884,
560342,,,,,6313,
857794,Roughly traced,,KC-c,KC-c,14057716,
729572,,,,,4620,
689631,Roughly traced,,KC-any,KC-any,23153464,
867222,,,,,4101,
732419,Roughly traced,,KC-c,KC-c,16763020,
646242,Orphan,,Others-orphan,,126256,
51239,Roughly traced,,KC-s,KC-s,27826676,
874020,Roughly traced,,KC-s,KC-s,20132347,
894515,Roughly traced,,KC-s,KC-s,22134851,
